"","vtitle","vpoint","vreview"
"199","검객","10","기대보다 더 좋았어요. 마음이 편해지는 영상과 음악, 거기에 배우들의 멋진 연기들까지 호평 받을만한 영화가 분명합니다. 가족들 데리고 한번 더 보러가고 싶네요"
"200","극장판 귀멸의 칼날: 무한열차편","8","영상미와 음악이 큰 몫합니다. 보는 내내 먹먹해요"
"201","루킹 글라스","10",""
"202","극장판 귀멸의 칼날: 무한열차편","10","너무나도 감동스럽고 재밋엇습니다 추천합니다!!"
"203","클로젯","8","소재가 특이했고 영상미도 압도적이었음. 재미있게 보고옴."
"204","수상한 가족","6","미국 이민자들의 고난과 시련을 알수 있었음"
"205","톰과 제리","10","띵작이다 띵작.. 왜 이걸 이제야 봤지"
"206","극장판 귀멸의 칼날: 무한열차편","10","영상미가 좋아요 역시 귀칼"
"207","세자매","10","잔잔하게 감동적 입니다."
"208","해리 포터와 마법사의 돌","10","주동우가 차안에서 애처럼 우는게 정말 와닿고 나조차 눈물이 났다."
"209","검객","10","재미있게 잘봤어요^^"
"210","극장판 귀멸의 칼날: 무한열차편","10","재밌어요~ 애니 내용 몰라도 대충 이해됩니다"
"211","루킹 글라스","9","아무 생각없이 보다 얻어 걸린 대박영화네요...웃음과감동 그리고 적절한 공포....개봉한지 8년이 지난 지금 감상했습니다한국 뮤직 비디오에도 출연한 이력이 있는여주인 다비카후네~  지금도 유명하고 이쁘지만8년전 미모가 더 이쁜거 같네요!!"
"212","극장판 귀멸의 칼날: 무한열차편","10","인권씨를 좋아하는 팬으로써 안타깝네요.개성과 연기력에 걸맞는 좋은영화 만나시길..."
"213","클로젯","10","미쳤다진짜 어떻게 이런 영화를 만들 수 있지RPG 끊었는데 또 하고 싶어짐 ㅠ"
"214","수상한 가족","10","와...내추억... 진짜 눈물나네여 ㅠㅠ"
"215","톰과 제리","10","재밌음!!! 배우들 케미가 쩖ㅋ"
"216","극장판 귀멸의 칼날: 무한열차편","10","화염의 호흡 오의! 연옥!"
"217","세자매","8","사모님 줘팰때 ㄹㅇ 통쾌해서 별4개줌"
"218","해리 포터와 마법사의 돌","10","남주존잘 .. 여주존예 ... 아름답다"
"219","검객","10","역작이다 두번봐라 ㅇㅇ"
"220","극장판 귀멸의 칼날: 무한열차편","10","나는 지금까지 쌓아온 모든 관념과 압박을 버리고 주인공 소녀만큼 성장할 수 있을까 싶었던... 영화 재밌어요"
"221","루킹 글라스","10","Maybe human is devine."
"222","극장판 귀멸의 칼날: 무한열차편","10",""
"223","클로젯","10","오랜만의 스티븐연 얼굴을 볼 수 있어서 너무 좋았고 신파적이지 않아서 너무 좋았다"
"224","수상한 가족","10","마음이 따뜻해지는 영화 ,, 잔잔하고 보는 내내 행복했다"
"225","톰과 제리","9","진지하고 묵직한 영화...마지막에 불씬은 여운이 많이 남았습니다..."
"226","극장판 귀멸의 칼날: 무한열차편","10","주인공이 바뀌는건 아시죠?"
"227","세자매","6",""
"228","해리 포터와 마법사의 돌","10","가족의 의미... 미국에서 이런 영화를..."
"229","검객","10","직이주네 영감이 피어오르는 감사한 영화네 이거"
"230","극장판 귀멸의 칼날: 무한열차편","10","인생 애니메이션 영화. 특히 작화와 ost가 미쳤다. 너의 이름은과 날씨의 아이보다 더 재밌었던 영화."
"231","루킹 글라스","10","막상 영화볼땐 눈물이 안나다가 곱씹으면서 ㅜㅜㅜ 주륵 ㅜ 단순한 소년만화가 아니다 여러가지 교훈을 잘 담고 있는 애니메이션. 유포터블 감사합니다!"
"232","극장판 귀멸의 칼날: 무한열차편","4","뭔데 이게.... 미나리를 한 번도 검색하지 않았음에도 불구하고 각종 매체에서 호평인게 눈에 띄거나 귀에 들어오기에 개봉하자마자 봤더니 기대가 너무 큰 탓인가? 아니 그건 아닌 것 같고... 재미 없었다. 무슨 사건 하나가 터지길 바랬는데 러닝타임 두시간 째가 다 되어가는데도 아무 일이 일어나지 않더라. 자극에 너무 물들어 버렸다고 하기에는 영화가 너무나도 잔잔함. 윤여정님의 연기는 좋았음. 근데 왜 그렇게 된 지 설명을 안해줌..."
"233","클로젯","10","이런 영화가 많이 나왔으면.... 신파가 없으니 여운이 더 오래 가네요"
"234","수상한 가족","6","텔미 뭐야 진짜ㅋㅋㅋㅋ준호때문에 봤다"
"235","톰과 제리","10","작품성으론 사실상 또 하나의 만점 영화, 무슨 설명이 더 필요한가? 한 마디로 명불허전 나홍진의 또 하나의 곡성과 추격자, 그나저나 아내가 임신했는대도 불구하고 마음 속으로 피눈물을 흘리며 강간씬을 찍은 철민이 형님 제발 이젠 좀 뜨고 편하게 살았으면 좋겠습니다..."
"236","극장판 귀멸의 칼날: 무한열차편","8","아 나 너무 기대하고 가서 좀 아쉬웠음 울 준비 다했는데 한방울 흘리고 나옴"
"237","세자매","8","그럼에도 가족, 그렇기에 가족."
"238","해리 포터와 마법사의 돌","9","괴로워도 슬퍼도 꿋꿋이 강하게 살아갈, 이 세상 모든 미나리들을 응원하며."
"239","검객","10","최고의 애니다 흑....감동적이고 슬포"
"240","극장판 귀멸의 칼날: 무한열차편","10","좋다.. 좋아.. 4dx로 보세요.."
"241","루킹 글라스","8","희망이 사라져도 희망은 있다"
"242","극장판 귀멸의 칼날: 무한열차편","10","최고의 실화영화입니다 꼭 보세요  이런 영화 다시는 없을듯"
"243","클로젯","10","생각도 못한 재미 !!ㅋㅋ 시간가는 줄 모르고 웃다 울다 재밌습니다!!"
"244","수상한 가족","10","암울했지만 정말 잘봤습니다 윤여정님 최고"
"245","톰과 제리","9","성장영화입니다. 깊은곳에서 오는 감정이 있었어요.미나리 많이 넣은신선한 회무침이 생각나요저 뭔소리하는거죠ㅋㅋㄱ영상미, 음악 다 좋아요"
"246","극장판 귀멸의 칼날: 무한열차편","8","영화가 아니라 누군가의 삶을 살짝 엿본 것 같다. 특히나 영화 마지막 부분의 사진들... 우리 고모네에 걸려있는 빛바랜 사진액자와 똑 닮아서 놀랐다. 향이 진한 미나리를 좋아하지 않지만, 언젠가 타국에서 살게 된다면 미나리를 그리워하게 되려나 라는 생각을 한번 하게 해준 영화."
"247","세자매","10","최고의 수혜자는 브레드 핏 ! 감독은 소설같은 전개를 영상으로 잘 펼쳤고 문학적 베이스가 매우 탄탄하다고 누껴졌움"
"248","해리 포터와 마법사의 돌","6","그냥 뻔한 결말에 뻔한 내용, 하지만 미래에서 과거를 해설하는 것과 중간중간 흘러나오는 음악들, 옜날 미국의 분위기가 너무 좋았던 영화였다"
"249","검객","6","책읽었지만 초반부에는 흥미진진해서 읽었지만 끝까지 반전은없었고  그냥 너무나 평범한 현대여성의 결혼후의 모습 다 그리살지않나 그렇지만 왜 헛소리를한거지?치매는 아닌거잖아요 ㅋ작가의 고발프로 피디출신다웠음!!"
"250","극장판 귀멸의 칼날: 무한열차편","6","스토리 많이 부족하고 부실하지만톰과 제리 를 영화관에서 본것만으로도 만족합니다."
"251","루킹 글라스","10","소재도 신선하고 간만에 극장에서 재밌게 봄"
"252","극장판 귀멸의 칼날: 무한열차편","10","간만에 힐링하고 너무 좋았어요!"
"253","클로젯","2","기대에  다소  미치지 못함이 있었던듯 하다어   ~   이케 끝났어  하는 느낌 뭐지"
"254","수상한 가족","10","이건 진짜 긴장감 레전드"
"255","톰과 제리","10","기대이상으로 재밌네요~~"
"256","극장판 귀멸의 칼날: 무한열차편","10","그냥 본 애니 중에 최고였음. 갓포터블"
"257","세자매","10","비굴해도 살아갈 것인지. 까오 빠지면 죽을 것인지. 백성을 위해 비굴해질 것인지. 까오를 위해 전쟁을 할 것인지..."
"258","해리 포터와 마법사의 돌","10",""
"259","검객","10","렌고쿠 미쳤다"
"260","극장판 귀멸의 칼날: 무한열차편","10","세자매 모두 행복했으면좋겠어요 ㅜㅜ 진섭이도"
"261","루킹 글라스","7","미나리 처럼 무럭무럭 자라난 가족의 사랑"
"262","극장판 귀멸의 칼날: 무한열차편","9","상상조차 하지마라! 당신의 눈은 현실세계가 아닌 오직 디지털프로그램에 갇혀살고있다! 20세기 마지막 디지털아날로그 하이테그 sf액션의 진화 매트릭스"
"263","클로젯","1","귀멸의 칼날 시간 날렸네 최악이다"
"264","수상한 가족","10","생존 200명 사망 1명...."
"265","톰과 제리","10","영화 후반부 데이빗이 뛰어가던 장면, ‘할머니 가지마! 우리랑 같이 살자!’ 영원히 잊혀지지 않을 것 같다."
"266","극장판 귀멸의 칼날: 무한열차편","1","다들 좋은 평을 내고 있는 마당에...감독과 제작진 거의 모두 한국인이 아닌데 너무 많은 매스컴에서 마치 자랑스런 한국인이 만든 한국영화인냥 은근슬쩍 작품국적을 둔갑시키고 있다는 생각을 했다. 전형적인 동양여성의 외형을 가진 한예리와 윤여정의 캐스팅은 완벽했다. 그러나 스티븐연의 어눌한 한국말에 보는내내 어색했다. 그리고 느닷없는 윤여정의 중풍은 고다르의 쩜프컷이 생각났다. 제발 JTBC는 이 작품을 봉준호의 기생충 영광인냥 재현하지 말아주었으면... 기생충과 미나리는 다르다."
"267","세자매","10","옛날 그 감동 그대로*^^*"
"268","해리 포터와 마법사의 돌","10","역시 스필버그임 영화관에서 못본게 아쉬운 영화"
"269","검객","1","평론가분들께 바칩니다"
"270","극장판 귀멸의 칼날: 무한열차편","10","잔잔한 여운이 오래 가는 영화그리고 윤여정"
"271","루킹 글라스","6","가족이 웬수다 이거하나 느낌 왜 이렇게 호평받고 상을 많이탔는지 난 도통 모르겠다"
"272","극장판 귀멸의 칼날: 무한열차편","8","가족애를 느끼게하는 훈훈한 영화잘봤습니다"
"273","클로젯","10","애니로 표현된 장면들과 액션씬은 입이 다물어지지 않을정도였다 애니는 그저 잔잔하고플때 편하게 보는 장르였는데 온 신경을 집중시키는 작품이였다 그야말로 요즘말로 가슴이 웅장해졌다 최고의 작품이였다"
"274","수상한 가족","6","앞부분에 토끼굴은 왜 보여줬는지 모르겠음 성인이 보고 즐길만한 내용은 아닌듯"
"275","톰과 제리","9","한예리가 미국인들이 좋아하는 동양인 스타일"
"276","극장판 귀멸의 칼날: 무한열차편","10","밀리 바비 브라운이 원숭이띠라는 놀라운 사시ㄹ..."
"277","세자매","10","내가 가장 재밌게 본 미국 군대영화 ""아메리칸 스나이퍼"", ""허트 로커"" "" 핵소고지"" 이 셋은 진짜 제대로다.."
"278","해리 포터와 마법사의 돌","9","그늘이 지고, 물이 고여 늘 축축한 환경에도 불구하고 삶을 유지하고 버텨내는 미나리가 가진 생명력. 그게 바로 '가족'이라는 은유겠지요."
"279","검객","6","지루함의 미학, 어떤 주제의식을 전달하는지 이해 못했다."
"280","극장판 귀멸의 칼날: 무한열차편","8","나쁘지 않았다.방금 보고옴."
"281","루킹 글라스","8","보고나니 아름다기도 하고 먹먹하네요."
"282","극장판 귀멸의 칼날: 무한열차편","10","바쁘지도 흥분하지도 않으나 게으르지 않게 봐야하는 영화입니다."
"283","클로젯","10",""
"284","수상한 가족","10","윤여정이라는 배우가 여우조연상으로 전세계를 휩쓸었다는 것에 확신하게 되었다"
"285","톰과 제리","10",""
"286","극장판 귀멸의 칼날: 무한열차편","6","'카우보이는 끝났어, 내 말 알아들어?' 누가 서부영화는 종언을 고했다고 했냐, 이것드라. 인트로 자료화면에 최초의 서부극 <대열차 강도(1903>를 넣음으로써 진한 웨스턴무비일 것임을 표방하며 시작한다. 벌린 판에 비해 결론은 게눈 감추듯 성급하다. 처음 연출하던 감독이 잘린 후 대부분은 주인공 커트 러셀이 대부분 연출했으며 조지 코스마토스는 현장과 포스트 프로덕션을 문제 없이 진행하는 선에서만 감독했다고. 실제 인물인 와이어트 어프는 일생동안 한 번도 총상을 입지 않았다(영화에서와 달리 조니 링고는 나무 밑에서 자살했지만). 감기약처럼 아무렇지도 않게 주고 받는 아편은 당시 미국에서 마약이 아이 기침약부터 수면제, 진통제까지 만병통치제로 쓰이던 실제 사실을 잘 반영했다."
"287","세자매","6","미나리가 미국에서 주목 받는 이유는 코로나로 인한 아시아인 혐오와 맞물려 인종 간의 차별이 없던 시절에 대한 향수와 지지에 주목하는 타이밍이 절묘했기 때문이지 영화적 완성도가 뛰어나서는 아니다."
"288","해리 포터와 마법사의 돌","10","올해 최고의 애니메이션"
"289","검객","10","마지막에 수맥을 찾은 제이콥이 내려놓은 돌, 내 가슴에 얹은 것 같다"
"290","극장판 귀멸의 칼날: 무한열차편","10","많이 울었습니다. 그 시절, 낯선 땅에서 묵묵히 자리를 지켜왔던 모든 미나리들에게 바치는 헌사."
"291","루킹 글라스","10","많이 울었습니다. 그 시절, 낯선 땅에서 묵묵히 자리를 지켜왔던 모든 미나리들에게 바치는 헌사."
"292","극장판 귀멸의 칼날: 무한열차편","10","이런 게 정말 영화가 아닐까?"
